clave,var1(t-72),var2(t-72),var3(t-72),var4(t-72),var5(t-72),var6(t-72),var7(t-72),var8(t-72),obj
2018-01-04 01:00:00,799,1442.0,658.0,76.0,0.0,36.0,116.0,festivo,59
2018-01-04 02:00:00,894,903.0,458.0,76.0,0.0,36.0,116.0,festivo,29
2018-01-04 03:00:00,760,397.0,190.0,76.0,0.0,36.0,116.0,festivo,29
2018-01-04 04:00:00,669,312.0,147.0,76.0,0.0,36.0,116.0,festivo,41
2018-01-04 05:00:00,665,299.0,124.0,76.0,0.0,36.0,116.0,festivo,155
2018-01-04 06:00:00,532,362.0,129.0,76.0,0.0,36.0,116.0,festivo,436
2018-01-04 07:00:00,453,415.0,122.0,76.0,0.0,36.0,116.0,festivo,674
2018-01-04 08:00:00,326,282.0,111.0,76.0,0.0,36.0,116.0,festivo,674
2018-01-04 09:00:00,303,176.0,88.0,76.0,0.0,36.0,116.0,festivo,674
2018-01-04 10:00:00,326,223.0,108.0,76.0,0.0,36.0,116.0,festivo,779
2018-01-04 11:00:00,489,321.0,170.0,76.0,0.0,36.0,116.0,festivo,808
2018-01-04 12:00:00,567,502.0,258.0,76.0,0.0,36.0,116.0,festivo,859
2018-01-04 13:00:00,649,787.0,417.0,76.0,0.0,36.0,116.0,festivo,843
2018-01-04 14:00:00,574,917.0,468.0,76.0,0.0,36.0,116.0,festivo,645
2018-01-04 15:00:00,554,444.0,201.0,76.0,0.0,36.0,116.0,festivo,673
2018-01-04 16:00:00,603,551.0,243.0,76.0,0.0,36.0,116.0,festivo,818
2018-01-04 17:00:00,703,766.0,349.0,76.0,0.0,36.0,116.0,festivo,919
2018-01-04 18:00:00,1096,909.0,430.0,76.0,0.0,36.0,116.0,festivo,872
2018-01-04 19:00:00,1261,763.0,591.0,76.0,0.0,36.0,116.0,festivo,647
2018-01-04 20:00:00,1106,714.0,436.0,76.0,0.0,36.0,116.0,festivo,502
2018-01-04 21:00:00,844,636.0,309.0,76.0,0.0,36.0,116.0,festivo,334
2018-01-04 22:00:00,663,447.0,191.0,76.0,0.0,36.0,116.0,festivo,236
2018-01-04 23:00:00,475,324.0,138.0,76.0,0.0,36.0,116.0,festivo,192
2018-01-05 00:00:00,321,240.0,90.0,104.0,0.0,75.0,134.0,laborable,109
2018-01-05 01:00:00,377,92.0,42.0,104.0,0.0,75.0,134.0,laborable,71
2018-01-05 02:00:00,266,61.0,33.0,104.0,0.0,75.0,134.0,laborable,61
2018-01-05 03:00:00,146,38.0,19.0,104.0,0.0,75.0,134.0,laborable,49
2018-01-05 04:00:00,217,34.0,19.0,104.0,0.0,75.0,134.0,laborable,52
2018-01-05 05:00:00,295,101.0,37.0,104.0,0.0,75.0,134.0,laborable,170
2018-01-05 06:00:00,498,251.0,157.0,104.0,0.0,75.0,134.0,laborable,449
2018-01-05 07:00:00,1510,822.0,615.0,104.0,0.0,75.0,134.0,laborable,654
2018-01-05 08:00:00,1891,2431.0,1039.0,104.0,0.0,75.0,134.0,laborable,652
2018-01-05 09:00:00,1821,1962.0,583.0,104.0,0.0,75.0,134.0,laborable,672
2018-01-05 10:00:00,1767,1065.0,636.0,104.0,0.0,75.0,134.0,laborable,801
2018-01-05 11:00:00,1724,1321.0,726.0,104.0,0.0,75.0,134.0,laborable,846
2018-01-05 12:00:00,1870,1473.0,733.0,104.0,0.0,75.0,134.0,laborable,957
2018-01-05 13:00:00,1321,1547.0,703.0,104.0,0.0,75.0,134.0,laborable,1000
2018-01-05 14:00:00,2041,1738.0,731.0,104.0,0.0,75.0,134.0,laborable,887
2018-01-05 15:00:00,1745,1329.0,648.0,104.0,0.0,75.0,134.0,laborable,689
2018-01-05 16:00:00,1742,1277.0,617.0,104.0,0.0,75.0,134.0,laborable,760
2018-01-05 17:00:00,1217,1560.0,707.0,104.0,0.0,75.0,134.0,laborable,775
2018-01-05 18:00:00,1396,1684.0,832.0,104.0,0.0,75.0,134.0,laborable,676
2018-01-05 19:00:00,1313,1532.0,729.0,104.0,0.0,75.0,134.0,laborable,636
2018-01-05 20:00:00,1248,1295.0,587.0,104.0,0.0,75.0,134.0,laborable,509
2018-01-05 21:00:00,1095,950.0,451.0,104.0,0.0,75.0,134.0,laborable,340
2018-01-05 22:00:00,904,655.0,296.0,104.0,0.0,75.0,134.0,laborable,295
2018-01-05 23:00:00,1078,484.0,204.0,104.0,0.0,75.0,134.0,laborable,221
2018-01-06 00:00:00,558,384.0,136.0,106.0,0.0,76.0,135.0,laborable,178
2018-01-06 01:00:00,357,204.0,59.0,106.0,0.0,76.0,135.0,laborable,125
2018-01-06 02:00:00,255,106.0,46.0,106.0,0.0,76.0,135.0,laborable,73
2018-01-06 03:00:00,221,62.0,33.0,106.0,0.0,76.0,135.0,laborable,56
2018-01-06 04:00:00,288,62.0,28.0,106.0,0.0,76.0,135.0,laborable,72
2018-01-06 05:00:00,297,95.0,49.0,106.0,0.0,76.0,135.0,laborable,77
2018-01-06 06:00:00,443,268.0,157.0,106.0,0.0,76.0,135.0,laborable,72
2018-01-06 07:00:00,1657,1374.0,395.0,106.0,0.0,76.0,135.0,laborable,96
2018-01-06 08:00:00,1931,2442.0,684.0,106.0,0.0,76.0,135.0,laborable,183
2018-01-06 09:00:00,1872,2095.0,656.0,106.0,0.0,76.0,135.0,laborable,230
