clave,var1(t-48),var2(t-48),var3(t-48),var4(t-48),var5(t-48),var6(t-48),var7(t-48),var8(t-48),obj
2018-01-03 01:00:00,91.0,1937.0,794.0,76.0,0.0,36.0,116.0,festivo,41
2018-01-03 02:00:00,109.0,1507.0,568.0,76.0,0.0,36.0,116.0,festivo,32
2018-01-03 03:00:00,92.0,758.0,199.0,76.0,0.0,36.0,116.0,festivo,29
2018-01-03 04:00:00,98.0,549.0,146.0,76.0,0.0,36.0,116.0,festivo,28
2018-01-03 05:00:00,118.0,467.0,107.0,76.0,0.0,36.0,116.0,festivo,121
2018-01-03 06:00:00,107.0,590.0,148.0,76.0,0.0,36.0,116.0,festivo,362
2018-01-03 07:00:00,69.0,517.0,171.0,76.0,0.0,36.0,116.0,festivo,962
2018-01-03 08:00:00,38.0,413.0,97.0,76.0,0.0,36.0,116.0,festivo,557
2018-01-03 09:00:00,11.0,435.0,94.0,76.0,0.0,36.0,116.0,festivo,612
2018-01-03 10:00:00,34.0,465.0,115.0,76.0,0.0,36.0,116.0,festivo,749
2018-01-03 11:00:00,38.0,782.0,172.0,76.0,0.0,36.0,116.0,festivo,763
2018-01-03 12:00:00,40.0,936.0,326.0,76.0,0.0,36.0,116.0,festivo,757
2018-01-03 13:00:00,82.0,1306.0,481.0,76.0,0.0,36.0,116.0,festivo,931
2018-01-03 14:00:00,7.0,1350.0,566.0,76.0,0.0,36.0,116.0,festivo,741
2018-01-03 15:00:00,49.0,1043.0,217.0,76.0,0.0,36.0,116.0,festivo,692
2018-01-03 16:00:00,98.0,1103.0,265.0,76.0,0.0,36.0,116.0,festivo,769
2018-01-03 17:00:00,129.0,1501.0,401.0,76.0,0.0,36.0,116.0,festivo,846
2018-01-03 18:00:00,116.0,1917.0,555.0,76.0,0.0,36.0,116.0,festivo,843
2018-01-03 19:00:00,121.0,1980.0,491.0,76.0,0.0,36.0,116.0,festivo,756
2018-01-03 20:00:00,291.0,1865.0,463.0,76.0,0.0,36.0,116.0,festivo,622
2018-01-03 21:00:00,87.0,1485.0,396.0,76.0,0.0,36.0,116.0,festivo,345
2018-01-03 22:00:00,68.0,1187.0,208.0,76.0,0.0,36.0,116.0,festivo,244
2018-01-03 23:00:00,61.0,850.0,158.0,76.0,0.0,36.0,116.0,festivo,211
2018-01-04 00:00:00,78.0,478.0,102.0,104.0,0.0,75.0,134.0,laborable,116
2018-01-04 01:00:00,673.0,231.0,64.0,104.0,0.0,75.0,134.0,laborable,58
2018-01-04 02:00:00,452.0,138.0,26.0,104.0,0.0,75.0,134.0,laborable,48
2018-01-04 03:00:00,326.0,84.0,18.0,104.0,0.0,75.0,134.0,laborable,26
2018-01-04 04:00:00,271.0,130.0,20.0,104.0,0.0,75.0,134.0,laborable,26
